12588,1,4
12589,1,4
12590,1,5
14042,1,4
15639,1,8
16200,1,5
16201,1,5
16514,1,4
16813,1,5
17274,1,5
3207,1,6
12158,1,6
12164,1,4
12530,1,6
12536,1,6
14310,1,4
14359,1,5
14365,1,6
14535,1,6
14537,1,4
14538,1,8
15654,1,6
16206,1,10
16213,1,4
16532,1,9
16595,1,6
16815,1,6
2876,1,9
12175,1,11
12538,1,8
12603,1,6
14373,1,9
14374,1,10
14544,1,8
15426,1,10
15660,1,5
15661,1,6
15664,1,5
16223,1,5
16829,1,4
17295,1,9
18451,1,4
19041,1,6
12177,1,6
12179,1,10
12180,1,9
12181,1,8
12334,1,10
12545,1,10
12554,1,10
12617,1,9
12620,1,10
14322,1,5
14375,1,6
14378,1,10
14379,1,10
14553,1,11
14559,1,6
